Landing Page URL,Impressions,Clicks,CTR,Conversions,Conv Rate,Cost (£),Conv Value (£),ROAS
https://www.nda-copy.nda.ac.uk/study/international-students/,7,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
http://www.nda.ac.uk/news/?id=146,4,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=NEWGADS08.20&utm_medium=CPC&utm_campaign=RELEVANT-INTERIOR-STYLING-CAREER&utm_term=INTERIOR%20STYLING%20CAREER,54,7,12.96%,0.0,0.00%,£15.47,£0.00,0.00
https://www.nda.ac.uk/all-2022/,1626,98,6.03%,0.0,0.00%,£282.71,£0.00,0.00
https://www.nda.ac.uk/study/open-days,48,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/blog/inspiration-from-kit-miles-studio/,3,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/blog/?post_type=page&p=2586,5,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/blog/autocad-for-interior-design/,1581,119,7.53%,0.0,0.00%,£120.84,£0.00,0.00
https://www.nda.ac.uk/blog/misconceptions-of-interior-design/,4,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/study/courses/ba-hons-degree/heritage-interior-design/,103,12,11.65%,0.0,0.00%,£36.18,£0.00,0.00
https://www.dev-speed.nda.ac.uk/faq-keywords/interior-design-jobs/,4,1,25.00%,0.0,0.00%,£0.71,£0.00,0.00
https://www.nda.ac.uk/blog/the-ultimate-guide-to-becoming-a-furniture-designer/,607,60,9.88%,0.0,0.00%,£41.78,£0.00,0.00
https://www.nda.ac.uk/study/workshops,74,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/blog/the-power-of-colour-in-interior-design/,47,2,4.26%,0.0,0.00%,£0.98,£0.00,0.00
https://www.nda.ac.uk/study/garden-design-courses/,1075,117,10.88%,0.0,0.00%,£44.89,£0.00,0.00
https://www.nda.ac.uk/blog/interior-design-/,25,3,12.00%,0.0,0.00%,£14.89,£0.00,0.00
https://www.nda.ac.uk/retail-design-degree/,13,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/blog/interior-design-student-spotlight-azza-refaat/,2,1,50.00%,0.0,0.00%,£0.19,£0.00,0.00
http://motorsport.nda.ac.uk/about-us/,10,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
http://www.nda.ac.uk/courses/,6,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/study/courses/ba-hons-degree/retail-design/,226,18,7.96%,0.0,0.00%,£54.23,£0.00,0.00
https://www.nda.ac.uk/blog/national-design-academy-india/,23,5,21.74%,0.0,0.00%,£1.81,£0.00,0.00
https://www.nda.ac.uk/blog/index-interior-design-exhibition/,161,8,4.97%,0.0,0.00%,£9.96,£0.00,0.00
https://www.nda.ac.uk/study/courses/short-courses/interior-design-software/,383,33,8.62%,0.0,0.00%,£16.55,£0.00,0.00
https://www.nda.ac.uk/study/courses/ma/interior-design-with-practice-management/,324,22,6.79%,0.0,0.00%,£28.70,£0.00,0.00
http://www.nda.ac.uk/news/?id=72,1,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/gallery/undergraduate/,69,5,7.25%,0.0,0.00%,£6.28,£0.00,0.00
https://www.nda.ac.uk/study/open-days/,25,4,16.00%,0.0,0.00%,£9.82,£0.00,0.00
https://www.nda.ac.uk/blog/how-to-curate-a-professional-interior-design-portfolio/,56,6,10.71%,0.0,0.00%,£3.90,£0.00,0.00
https://www.nda.ac.uk/blog/become-an-interior-designer/,1588,93,5.86%,0.0,0.00%,£38.26,£0.00,0.00
https://www.nda.ac.uk/blog/best-interior-design-apps-part-one/,1156,167,14.45%,0.0,0.00%,£33.92,£0.00,0.00
https://www.nda.ac.uk/study/courses,566,2,0.35%,0.0,0.00%,£8.26,£0.00,0.00
https://www.nda.ac.uk/blog/top-interior-designers-of-the-future/,22,4,18.18%,0.0,0.00%,£5.85,£0.00,0.00
https://www.nda.ac.uk/blog/how-important-is-an-interior-design-degree/,45,3,6.67%,0.0,0.00%,£0.73,£0.00,0.00
https://www.nda.ac.uk/blog/6-steps-to-start-an-interior-design-business/,1301,112,8.61%,0.0,0.00%,£37.04,£0.00,0.00
https://www.nda.ac.uk/blog/student-of-the-month-heritage-interior-design/,17,4,23.53%,0.0,0.00%,£10.72,£0.00,0.00
https://www.nda.ac.uk/blog/design101-designing-a-kitchen/,321,17,5.30%,0.0,0.00%,£22.18,£0.00,0.00
http://www.nda.ac.uk/courses/MA-Interior-Design.aspx,62,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
