Search Term,Campaign Name,Campaign Type,Clicks
magnetic cubes for kids,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,10
fort kit for kids,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,62
kid play fort,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,4
giant building blocks,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,37
the big set by superspace,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,12
magnet fort tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,119
magnetic fort building tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,16
big magnatiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,87
toddler fort,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,34
super space tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,143
superspace panels,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,39
large magnatiles for forts,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,12
get superspace com,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,9
superspace life size magnetic tiles,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,5
life size magnatiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,289
inside forts for kids,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,4
magnetic play tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,25
fort building kit for kids,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,13
large magnetic tiles,SUP | US | Search | Generics 650 4/5  Trial 142,Search,12
superspace magna tiles,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,16
large building tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,13
mega tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,12
magnetic tiles for kids,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,101
magnetic panel playhouse,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,197
superspace tiles,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,2574
toys for 3 year olds,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,16
superspace tile ideas,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,51
fort building kit,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,751
fort making kit,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,60
getsuperspace com,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,12
space tiles,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,34
fort building tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,8
get superspace com,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,21
the big set,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,16
space tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,40
life size magnetic tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,671
superspace,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,328
fort magnetic tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,20
superspace tiles amazon,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,17
best toys for 4 year olds,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,35
magnetic tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,376
magnetic fort blocks,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,10
fort tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,95
spacetiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,16
kids fort building,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,38
super space com,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,28
super space fort,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,60
superspace reviews,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,38
kids building tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,10
large fort building kit,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,25
superspace big set,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,52
superspaces,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,8
large magnetic tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,273
